abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Immigrants_males,Immigrants_females,Immigrants_males_HS,Immigrants_females_HS,Immigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Immigrants_014_female,Immigrants_014_male,Immigrants_total
SVK,10.6,Slovakia,1.52,105422304976.0,0.987,0.466,4.6,77.2,5.0,3.11,18.4,3.42,5454073.0,5.56,Slovak Republic,2020.0,ECA-HIC,SVK,18237.0,25398.0,5713.0,6928.0,12641.0,172582.0,251231.0,418845.0,4609786.0,4190941.0,2134852.0,2051122.0,414663.0,434378.0,2820.0,1691.0,43635.0
SVN,9.4,Slovenia,1.6,53742159517.0,1.004,0.7859999999999999,1.7,81.0,7.0,5.25,12.5,3.09,2087946.0,4.2,Slovenia,2020.0,ECA-HIC,SVN,155924.0,109846.0,17020.0,13700.0,30720.0,108315.0,171512.0,276870.0,1784187.0,1507317.0,729478.0,774882.0,154503.0,163729.0,4201.0,5229.0,265770.0
SLB,32.44,Solomon Islands,4.4,1425074226.0,1.062,,17.1,72.8,104.0,0.4,3.3,0.19,669823.0,0.58,Solomon Islands,2020.0,EAP-OTH,SLB,1282.0,1005.0,282.0,278.0,560.0,14255.0,9600.0,23878.0,411917.0,388039.0,194828.0,193234.0,133188.0,141773.0,100.0,133.0,2287.0
SOM,41.75,Somalia,6.07,4720727278.0,0.23399999999999999,0.025,76.6,57.1,829.0,,,0.02,15442905.0,11.35,Somalia,2020.0,SSA,SOM,29970.0,24260.0,1623.0,604.0,2227.0,150126.0,48271.0,198732.0,8558512.0,8359780.0,4278182.0,4081933.0,3642679.0,3692028.0,2045.0,2315.0,54230.0
ZAF,20.51,South Africa,2.41,351431649241.0,1.0090000000000001,0.22399999999999998,28.5,63.9,119.0,,7.7,0.91,58558270.0,28.18,South Africa,2020.0,SSA,ZAF,1140268.0,811224.0,138751.0,88537.0,227288.0,996026.0,990399.0,1987630.0,42227120.0,40239488.0,20657676.0,19583020.0,8444602.0,8636966.0,58726.0,55870.0,1951492.0
KOR,6.4,South Korea,0.98,2029000000000.0,0.981,0.943,2.7,82.6,11.0,6.49,36.8,2.36,51709098.0,4.15,"Korea, Rep.",2020.0,EAP-HIC,KOR,790467.0,634507.0,505665.0,355751.0,861416.0,6801241.0,5684818.0,12483313.0,45334520.0,32851208.0,17044454.0,15804006.0,3157238.0,3344482.0,135310.0,167898.0,1424974.0
SSD,35.01,South Sudan,4.7,11997800751.0,0.73,,63.7,57.6,1150.0,,61.3,,11062113.0,12.24,South Sudan,2020.0,SSA,SSD,399220.0,390686.0,139186.0,136382.0,275568.0,162136.0,110509.0,272892.0,6567616.0,6294725.0,3195916.0,3099055.0,2284290.0,2341823.0,48161.0,44186.0,789906.0
ESP,7.9,Spain,1.26,1394116310769.0,1.0270000000000001,0.889,2.5,83.3,4.0,5.6,24.2,3.87,47076781.0,13.96,Spain,2020.0,ECA-HIC,ESP,3178894.0,3411405.0,827345.0,1002876.0,1830221.0,3927543.0,4481469.0,8395310.0,40543340.0,32148030.0,16302636.0,15831693.0,3301855.0,3518226.0,300177.0,398388.0,6590299.0
LKA,15.83,Sri Lanka,2.2,84008783756.0,1.002,0.196,6.4,76.8,36.0,0.35,38.4,1.0,21803000.0,4.2,Sri Lanka,2020.0,SA,LKA,18292.0,16399.0,4290.0,2857.0,7147.0,206254.0,267330.0,472218.0,16727518.0,16255300.0,8575866.0,7678068.0,2565953.0,2625529.0,2660.0,2904.0,34691.0
SDN,32.18,Sudan,4.41,18902284476.0,0.768,0.16899999999999998,42.1,65.1,295.0,0.41,63.2,0.26,42813238.0,16.53,Sudan,2020.0,SSA,SDN,594504.0,597828.0,150944.0,146315.0,297259.0,474494.0,554681.0,1027392.0,26397540.0,25370148.0,12782202.0,12586162.0,8605091.0,8846639.0,96142.0,90673.0,1192332.0
SUR,18.54,Suriname,2.42,3985250737.0,1.088,0.126,16.9,71.6,120.0,,10.1,1.21,581372.0,7.33,Suriname,2020.0,LAC,SUR,23288.0,19050.0,2408.0,2279.0,4687.0,12228.0,15279.0,27486.0,430209.0,402723.0,201151.0,201551.0,75382.0,81043.0,2480.0,2983.0,42338.0
SWE,11.4,Sweden,1.76,530832908738.0,1.266,0.67,2.2,82.5,4.0,,15.2,3.98,10285453.0,6.48,Sweden,2020.0,ECA-HIC,SWE,883452.0,872271.0,269488.0,309469.0,578957.0,797252.0,1073114.0,1876164.0,8528796.0,6652632.0,3206846.0,3451585.0,887215.0,937431.0,0.0,0.0,1755723.0
CHE,10.0,Switzerland,1.52,703082435360.0,1.052,0.596,3.7,83.6,5.0,,28.3,4.3,8574832.0,4.58,Switzerland,2020.0,ECA-HIC,CHE,1149398.0,1194203.0,426748.0,415878.0,842626.0,935439.0,722421.0,1649314.0,7344648.0,5695334.0,2999865.0,2686923.0,629585.0,662328.0,93733.0,115266.0,2343601.0
SYR,23.69,Syria,2.81,40405006007.0,0.8170000000000001,0.401,14.0,71.8,31.0,1.02,53.7,1.22,17070135.0,8.37,Syrian Arab Republic,2020.0,MENA-OTH,SYR,352818.0,355535.0,45435.0,16876.0,62311.0,294601.0,160162.0,457822.0,12114891.0,11657069.0,5941233.0,5718896.0,2639198.0,2746568.0,80897.0,79461.0,708353.0
TJK,30.76,Tajikistan,3.59,8116626794.0,1.0090000000000001,0.313,30.4,70.9,17.0,0.23,63.1,1.7,9321018.0,11.02,Tajikistan,2020.0,ECA-OTH,TJK,96374.0,126564.0,8332.0,27798.0,36130.0,358877.0,233330.0,617740.0,5982954.0,5365214.0,2770405.0,2620342.0,1728169.0,1826519.0,30294.0,22800.0,222938.0
TZA,36.7,Tanzania,4.89,63177068175.0,0.9420000000000001,0.04,37.6,65.0,524.0,0.09,26.1,0.01,58005463.0,1.98,Tanzania,2020.0,SSA,TZA,177778.0,175447.0,19515.0,11262.0,30777.0,229064.0,117790.0,351334.0,33717316.0,33365982.0,16903890.0,16466573.0,12861425.0,13155471.0,37563.0,35229.0,353225.0
THA,10.34,Thailand,1.53,543649976166.0,0.998,0.493,7.8,76.9,37.0,1.06,11.8,0.81,69625582.0,0.75,Thailand,2020.0,EAP-OTH,THA,1538997.0,1548504.0,52335.0,35119.0,87454.0,3637221.0,4807828.0,8344371.0,58246340.0,49901968.0,25416776.0,24384516.0,5609314.0,5944323.0,262135.0,282860.0,3087501.0
TLS,29.42,East Timor,4.02,1673540300.0,1.153,0.17800000000000002,39.3,69.3,142.0,0.6,10.2,0.72,3500000.0,4.55,,,,,,,,,,,,,,,,,,,,,
TGO,33.11,Togo,4.32,5459979417.0,1.238,0.145,47.4,60.8,396.0,0.34,51.0,0.08,8082366.0,2.04,Togo,2020.0,SSA,TGO,124914.0,128221.0,5731.0,2446.0,8177.0,70949.0,38079.0,108956.0,4914565.0,4805609.0,2444242.0,2361296.0,1677012.0,1687160.0,9908.0,16893.0,253135.0
TON,24.3,Tonga,3.56,450353314.0,1.163,0.064,13.4,70.8,52.0,,10.2,0.52,100209.0,1.12,Tonga,2020.0,EAP-OTH,TON,1986.0,1643.0,149.0,139.0,288.0,43.0,32.0,72.0,68955.0,68883.0,35086.0,33794.0,17675.0,19067.0,55.0,58.0,3629.0
TTO,12.94,Trinidad and Tobago,1.73,24100202834.0,1.062,0.12,16.4,73.4,67.0,2.25,37.3,4.17,1394973.0,2.69,Trinidad and Tobago,2020.0,LAC,TTO,37145.0,38464.0,12509.0,14623.0,27132.0,36733.0,50946.0,87506.0,1118720.0,1031214.0,519361.0,511680.0,138237.0,142534.0,1206.0,2034.0,75609.0
TUN,17.56,Tunisia,2.2,38797709924.0,1.1540000000000001,0.317,14.6,76.5,43.0,0.47,39.8,1.3,11694719.0,16.02,Tunisia,2020.0,MENA-OTH,TUN,26630.0,24252.0,5325.0,3727.0,9052.0,418932.0,412731.0,826866.0,8947793.0,8120928.0,4153386.0,3962744.0,1391749.0,1479076.0,4419.0,4844.0,50882.0
TUR,16.03,Turkey,2.07,754411708203.0,0.932,0.239,9.1,77.4,17.0,3.45,16.9,1.85,83429615.0,13.49,Turkiye,2020.0,ECA-OTH,TUR,2515031.0,2340635.0,639105.0,306094.0,945199.0,3239804.0,2534631.0,5735986.0,64146560.0,58410576.0,30297376.0,28074748.0,9870936.0,10321572.0,151834.0,395542.0,4855666.0
TKM,23.83,Turkmenistan,2.79,40761142857.0,0.884,0.08,39.3,68.1,7.0,0.88,71.1,2.22,5942089.0,3.91,Turkmenistan,2020.0,ECA-OTH,TKM,87603.0,96607.0,16072.0,25178.0,41250.0,268364.0,237114.0,505797.0,4174074.0,3668277.0,1909031.0,1759565.0,915732.0,941381.0,5956.0,4754.0,184210.0
TUV,,Tuvalu,,47271463.0,0.86,,20.6,,,,0.7,0.92,11646.0,,Tuvalu,2020.0,EAP-OTH,TUV,128.0,100.0,18.0,24.0,42.0,,,,,,,,,,8.0,4.0,228.0
UGA,38.14,Uganda,4.96,34387229486.0,1.0270000000000001,0.048,33.8,63.0,375.0,0.01,40.5,0.17,44269594.0,1.84,Uganda,2020.0,SSA,UGA,713604.0,761784.0,185884.0,181688.0,367572.0,164955.0,101486.0,277301.0,24692872.0,24415572.0,12664088.0,11762343.0,10428837.0,10619291.0,130865.0,114061.0,1475388.0
UKR,8.7,Ukraine,1.3,153781069118.0,0.99,0.8270000000000001,7.5,71.6,19.0,0.84,47.8,2.99,44385155.0,8.88,Ukraine,2020.0,ECA-OTH,UKR,1822384.0,2405384.0,450210.0,583957.0,1034167.0,3901311.0,6304455.0,10149310.0,37075104.0,26925794.0,13955379.0,12913961.0,3424527.0,3632415.0,442706.0,326914.0,4227768.0
ARE,10.33,United Arab Emirates,1.41,421142267938.0,1.084,0.368,6.5,77.8,3.0,,17.8,2.53,9770529.0,2.35,United Arab Emirates,2020.0,GCC,ARE,5480546.0,1968087.0,2927309.0,1023683.0,3950992.0,2637281.0,864351.0,3509108.0,8425228.0,4916121.0,1471986.0,3451610.0,717714.0,747458.0,328455.0,939247.0,7448633.0
GBR,11.0,United Kingdom,1.68,2827113184696.0,1.012,0.6,3.6,81.3,7.0,10.13,14.8,2.81,66834405.0,3.85,United Kingdom,2020.0,ECA-HIC,GBR,4118012.0,4604551.0,1972956.0,2324103.0,4297059.0,6339583.0,6714723.0,13052486.0,55222904.0,42170416.0,21430992.0,20737608.0,5790623.0,6067470.0,317635.0,384991.0,8722563.0
USA,11.6,United States,1.73,21427700000000.0,1.018,0.882,5.6,78.5,19.0,7.25,11.1,2.61,328239523.0,14.7,United States,2020.0,NOAM,USA,21762988.0,23092754.0,10108560.0,11031329.0,21139888.0,37582080.0,41044508.0,78533104.0,270598528.0,192065424.0,96647152.0,95324800.0,29776773.0,31125769.0,1167322.0,1218336.0,44855744.0
URY,13.86,Uruguay,1.97,56045912952.0,1.085,0.631,6.4,77.8,17.0,1.66,16.2,5.05,3461734.0,8.73,Uruguay,2020.0,LAC,URY,50665.0,56974.0,17611.0,21616.0,39227.0,95596.0,166916.0,259521.0,2767343.0,2507822.0,1283140.0,1221692.0,345335.0,361049.0,356.0,272.0,107639.0
UZB,23.3,Uzbekistan,2.42,57921286440.0,1.042,0.10099999999999999,19.1,71.6,29.0,0.24,42.7,2.37,33580650.0,5.92,Uzbekistan,2020.0,ECA-OTH,UZB,498434.0,568110.0,157060.0,218958.0,376018.0,2123299.0,2224163.0,4347250.0,24373202.0,20025952.0,10135820.0,9889921.0,4794583.0,5064265.0,50533.0,44930.0,1066544.0
VUT,29.6,Vanuatu,3.78,917058851.0,1.093,0.047,22.3,70.3,72.0,1.56,8.9,0.17,299882.0,4.39,Vanuatu,2020.0,EAP-OTH,VUT,1489.0,1499.0,661.0,677.0,1338.0,3850.0,3231.0,7087.0,189173.0,182086.0,91243.0,90849.0,56986.0,60991.0,139.0,130.0,2988.0
VEN,17.88,Venezuela,2.27,482359318768.0,0.972,0.7929999999999999,21.4,72.1,125.0,0.01,45.8,1.92,28515829.0,8.8,"Venezuela, RB",2020.0,LAC,VEN,542106.0,553655.0,88856.0,84473.0,173329.0,1432925.0,2316526.0,3705871.0,20683548.0,16977676.0,8339556.0,8594542.0,3794930.0,3957465.0,117716.0,110717.0,1095761.0
VNM,16.75,Vietnam,2.05,261921244843.0,1.1059999999999999,0.285,16.5,75.3,43.0,0.73,43.5,0.82,96462106.0,2.01,Vietnam,2020.0,EAP-OTH,VNM,36558.0,26503.0,19740.0,12411.0,32151.0,1702263.0,1351767.0,3059255.0,74761840.0,71702584.0,36715452.0,34992352.0,10673109.0,11903637.0,5793.0,7913.0,63061.0
YEM,30.45,Yemen,3.79,26914402224.0,0.9359999999999999,0.102,42.9,66.1,164.0,,81.0,0.31,29161922.0,12.91,"Yemen, Rep.",2020.0,MENA-OTH,YEM,182754.0,134274.0,14674.0,3755.0,18429.0,468147.0,175297.0,653861.0,18243880.0,17590020.0,8950011.0,8650424.0,5675675.0,5906414.0,29328.0,40759.0,317028.0
ZMB,36.19,Zambia,4.63,23064722446.0,0.987,0.040999999999999995,40.4,63.5,213.0,0.24,27.5,1.19,17861030.0,11.43,Zambia,2020.0,SSA,ZMB,86952.0,80590.0,6390.0,3150.0,9540.0,73089.0,41543.0,115165.0,10291816.0,10176651.0,5230427.0,4946757.0,4008980.0,4083160.0,9809.0,10605.0,167542.0
ZWE,30.68,Zimbabwe,3.62,21440758800.0,1.099,0.1,33.9,61.2,458.0,,25.8,0.21,14645468.0,4.95,Zimbabwe,2020.0,SSA,ZWE,225383.0,169305.0,7994.0,4593.0,12587.0,183789.0,90895.0,285258.0,8633707.0,8348450.0,4577572.0,3781451.0,3102450.0,3126770.0,10275.0,11178.0,394688.0
